# (c) Die Bundeswahlleiterin, Statistische Ämter des Bundes und der Länder, Wiesbaden 2024;;;;;;;;;;;;;;;;
# Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Wahlkreise und zugeordnete Gemeinden bei der Wahl zum 21. Deutschen Bundestag (gemäß 27. Gesetz zur Änderung des Bundeswahlgesetzes vom 07.03.2024 (BGBl. 2024 I Nr. 91) und Bekanntmachung zur Wahlkreiseinteilung vom 27.12.2024 (BGBl. 2024 I Nr. 437));;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
# Gebietsstand: 30.11.2024;;;;;;;;;;;;;;;;
# ;;;;;;;;;;;;;;;;
Wahlkreis-Nr;Wahlkreis-Bez;RGS_Land;RGS_RegBez;RGS_Kreis;RGS_GemVerband;RGS_Gemeinde;Landname;RegBez-Name;Kreisname;GemVerband-Name;Gemeindename;Gemeindeteil;Wahlkreis-von;Wahlkreis-bis;PLZ-GemVerwaltung;PLZ-mehrere
001;Flensburg – Schleswig;01;0;59;5990;152;Schleswig-Holstein;;Schleswig-Flensburg;Geltinger Bucht;Pommerby;;;;24395;
001;Flensburg – Schleswig;01;0;59;5990;154;Schleswig-Holstein;;Schleswig-Flensburg;Geltinger Bucht;Rabel;;;;24376;
001;Flensburg – Schleswig;01;0;59;5990;155;Schleswig-Holstein;;Schleswig-Flensburg;Geltinger Bucht;Rabenholz;;;;24395;
001;Flensburg – Schleswig;01;0;59;5990;163;Schleswig-Holstein;;Schleswig-Flensburg;Geltinger Bucht;Stangheck;;;;24395;
001;Flensburg – Schleswig;01;0;59;5990;164;Schleswig-Holstein;;Schleswig-Flensburg;Geltinger Bucht;Steinberg;;;;24972;
001;Flensburg – Schleswig;01;0;59;5990;167;Schleswig-Holstein;;Schleswig-Flensburg;Geltinger Bucht;Sterup;;;;24996;
001;Flensburg – Schleswig;01;0;59;5990;168;Schleswig-Holstein;;Schleswig-Flensburg;Geltinger Bucht;Stoltebüll;;;;24409;
001;Flensburg – Schleswig;01;0;59;5990;186;Schleswig-Holstein;;Schleswig-Flensburg;Geltinger Bucht;Steinbergkirche;;;;24972;
001;Flensburg – Schleswig;01;0;59;5993;010;Schleswig-Holstein;;Schleswig-Flensburg;Arensharde;Bollingstedt;;;;24855;
001;Flensburg – Schleswig;01;0;59;5993;023;Schleswig-Holstein;;Schleswig-Flensburg;Arensharde;Ellingstedt;;;;24870;
001;Flensburg – Schleswig;01;0;59;5993;039;Schleswig-Holstein;;Schleswig-Flensburg;Arensharde;Hollingstedt;;;;24876;
001;Flensburg – Schleswig;01;0;59;5993;041;Schleswig-Holstein;;Schleswig-Flensburg;Arensharde;Hüsby;;;;24850;
001;Flensburg – Schleswig;01;0;59;5993;044;Schleswig-Holstein;;Schleswig-Flensburg;Arensharde;Jübek;;;;24855;
001;Flensburg – Schleswig;01;0;59;5993;057;Schleswig-Holstein;;Schleswig-Flensburg;Arensharde;Lürschau;;;;24850;
001;Flensburg – Schleswig;01;0;59;5993;077;Schleswig-Holstein;;Schleswig-Flensburg;Arensharde;Schuby;;;;24850;*****
001;Flensburg – Schleswig;01;0;59;5993;079;Schleswig-Holstein;;Schleswig-Flensburg;Arensharde;Silberstedt;;;;24887;
001;Flensburg – Schleswig;01;0;59;5993;092;Schleswig-Holstein;;Schleswig-Flensburg;Arensharde;Treia;;;;24896;
001;Flensburg – Schleswig;01;0;59;5996;001;Schleswig-Holstein;;Schleswig-Flensburg;Kropp-Stapelholm;Alt Bennebek;;;;24848;
001;Flensburg – Schleswig;01;0;59;5996;005;Schleswig-Holstein;;Schleswig-Flensburg;Kropp-Stapelholm;Bergenhusen;;;;24861;
001;Flensburg – Schleswig;01;0;59;5996;009;Schleswig-Holstein;;Schleswig-Flensburg;Kropp-Stapelholm;Börm;;;;24863;*****
001;Flensburg – Schleswig;01;0;59;5996;020;Schleswig-Holstein;;Schleswig-Flensburg;Kropp-Stapelholm;Dörpstedt;;;;24869;
001;Flensburg – Schleswig;01;0;59;5996;024;Schleswig-Holstein;;Schleswig-Flensburg;Kropp-Stapelholm;Erfde;;;;24803;
001;Flensburg – Schleswig;01;0;59;5996;035;Schleswig-Holstein;;Schleswig-Flensburg;Kropp-Stapelholm;Groß Rheide;;;;24872;*****
001;Flensburg – Schleswig;01;0;59;5996;050;Schleswig-Holstein;;Schleswig-Flensburg;Kropp-Stapelholm;Klein Bennebek;;;;24848;*****
001;Flensburg – Schleswig;01;0;59;5996;051;Schleswig-Holstein;;Schleswig-Flensburg;Kropp-Stapelholm;Klein Rheide;;;;24848;
001;Flensburg – Schleswig;01;0;59;5996;053;Schleswig-Holstein;;Schleswig-Flensburg;Kropp-Stapelholm;Kropp;;;;24848;
001;Flensburg – Schleswig;01;0;59;5996;058;Schleswig-Holstein;;Schleswig-Flensburg;Kropp-Stapelholm;Meggerdorf;;;;24799;*****
001;Flensburg – Schleswig;01;0;59;5996;087;Schleswig-Holstein;;Schleswig-Flensburg;Kropp-Stapelholm;Tetenhusen;;;;24817;*****
001;Flensburg – Schleswig;01;0;59;5996;088;Schleswig-Holstein;;Schleswig-Flensburg;Kropp-Stapelholm;Tielen;;;;24803;
001;Flensburg – Schleswig;01;0;59;5996;096;Schleswig-Holstein;;Schleswig-Flensburg;Kropp-Stapelholm;Wohlde;;;;24899;
001;Flensburg – Schleswig;01;0;59;5996;188;Schleswig-Holstein;;Schleswig-Flensburg;Kropp-Stapelholm;Stapel;;;;25879;
002;Nordfriesland – Dithmarschen Nord;01;0;51;0000;044;Schleswig-Holstein;;Dithmarschen;;Heide, Stadt;;;;25746;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;005;Schleswig-Holstein;;Dithmarschen;Eider;Barkenholm;;;;25791;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;008;Schleswig-Holstein;;Dithmarschen;Eider;Bergewöhrden;;;;25779;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;019;Schleswig-Holstein;;Dithmarschen;Eider;Dellstedt;;;;25786;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;020;Schleswig-Holstein;;Dithmarschen;Eider;Delve;;;;25788;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;023;Schleswig-Holstein;;Dithmarschen;Eider;Dörpling;;;;25794;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;030;Schleswig-Holstein;;Dithmarschen;Eider;Fedderingen;;;;25779;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;035;Schleswig-Holstein;;Dithmarschen;Eider;Gaushorn;;;;25782;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;036;Schleswig-Holstein;;Dithmarschen;Eider;Glüsing;;;;25779;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;038;Schleswig-Holstein;;Dithmarschen;Eider;Groven;;;;25774;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;047;Schleswig-Holstein;;Dithmarschen;Eider;Hemme;;;;25774;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;049;Schleswig-Holstein;;Dithmarschen;Eider;Hennstedt;;;;25779;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;052;Schleswig-Holstein;;Dithmarschen;Eider;Hövede;;;;25782;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;053;Schleswig-Holstein;;Dithmarschen;Eider;Hollingstedt;;;;25788;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;058;Schleswig-Holstein;;Dithmarschen;Eider;Karolinenkoog;;;;25774;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;060;Schleswig-Holstein;;Dithmarschen;Eider;Kleve;;;;25779;*****
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;061;Schleswig-Holstein;;Dithmarschen;Eider;Krempel;;;;25774;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;065;Schleswig-Holstein;;Dithmarschen;Eider;Lehe;;;;25774;*****
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;068;Schleswig-Holstein;;Dithmarschen;Eider;Linden;;;;25791;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;071;Schleswig-Holstein;;Dithmarschen;Eider;Lunden;;;;25774;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;080;Schleswig-Holstein;;Dithmarschen;Eider;Norderheistedt;;;;25779;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;088;Schleswig-Holstein;;Dithmarschen;Eider;Pahlen;;;;25794;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;092;Schleswig-Holstein;;Dithmarschen;Eider;Rehm-Flehde-Bargen;;;;25776;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;096;Schleswig-Holstein;;Dithmarschen;Eider;Sankt Annen;;;;25776;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;100;Schleswig-Holstein;;Dithmarschen;Eider;Schalkholz;;;;25782;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;102;Schleswig-Holstein;;Dithmarschen;Eider;Schlichting;;;;25779;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;114;Schleswig-Holstein;;Dithmarschen;Eider;Tellingstedt;;;;25782;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;117;Schleswig-Holstein;;Dithmarschen;Eider;Tielenhemme;;;;25794;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;120;Schleswig-Holstein;;Dithmarschen;Eider;Wallen;;;;25788;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;125;Schleswig-Holstein;;Dithmarschen;Eider;Welmbüttel;;;;25782;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;131;Schleswig-Holstein;;Dithmarschen;Eider;Westerborstel;;;;25782;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;133;Schleswig-Holstein;;Dithmarschen;Eider;Wiemerstedt;;;;25779;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;136;Schleswig-Holstein;;Dithmarschen;Eider;Wrohm;;;;25799;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;139;Schleswig-Holstein;;Dithmarschen;Eider;Süderdorf;;;;25782;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5169;141;Schleswig-Holstein;;Dithmarschen;Eider;Süderheistedt;;;;25779;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5172;048;Schleswig-Holstein;;Dithmarschen;Heider Umland;Hemmingstedt;;;;25770;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5172;067;Schleswig-Holstein;;Dithmarschen;Heider Umland;Lieth;;;;25770;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5172;069;Schleswig-Holstein;;Dithmarschen;Heider Umland;Lohe-Rickelshof;;;;25746;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5172;075;Schleswig-Holstein;;Dithmarschen;Heider Umland;Neuenkirchen;;;;25792;*****
002;Nordfriesland – Dithmarschen Nord;01;0;51;5172;081;Schleswig-Holstein;;Dithmarschen;Heider Umland;Norderwöhrden;;;;25746;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5172;082;Schleswig-Holstein;;Dithmarschen;Heider Umland;Nordhastedt;;;;25785;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5172;087;Schleswig-Holstein;;Dithmarschen;Heider Umland;Ostrohe;;;;25746;
002;Nordfriesland – Dithmarschen Nord;01;0;51;5172;107;Schleswig-Holstein;;Dithmarschen;Heider Umland;Stelle-Wittenwurth;;;;25795;
